density, deg-close, deg-betw, deg-katz, close-betw, close-katz, betw-katz
0.0, 1.0000000000000004, 1.0000000000000004, 1.0000000000000004, 1.0000000000000004, 1.0000000000000004, 1.0000000000000004
0.025, 0.7658614366469534, 0.7418136564103471, 0.030116688104953618, 0.7083744668456441, 0.030030803217972274, 0.3663741472293572
0.05, 0.6012844278176204, 0.5776355287917386, 0.014297951620684882, 0.5420425704705788, 0.013881030396554705, 0.05308029064171459
0.075, 0.48050153313219185, 0.49661752941143933, 0.016578533909494146, 0.43144270957547326, 0.014975608356153722, 0.01583241388095119
0.1, 0.44126358171808033, 0.5398858423942577, 0.01838609199353444, 0.4432613800675269, 0.014896900720279648, 0.01849758644110048
0.125, 0.4270406537766671, 0.5466566738583784, 0.019842889534242594, 0.42835352799553783, 0.015344242420157028, 0.020221047393732833
0.15, 0.36259367284664296, 0.5027142974457017, 0.019759860159385127, 0.3682672200870724, 0.014507252108485101, 0.020854698695406484
0.175, 0.30547175905730184, 0.4556591647900243, 0.02142719449256256, 0.3011957237924301, 0.014517724769327223, 0.021650206438377066
0.2, 0.2907727058063028, 0.46942479053103164, 0.023353184554721247, 0.2796612958411544, 0.014664112936743204, 0.02318251735942709
0.225, 0.26393330844918433, 0.442626825544101, 0.023807057438410186, 0.2548100557682781, 0.013659324881165441, 0.02316317908428268
0.25, 0.22890458311170298, 0.4026181336638634, 0.023849585644163583, 0.2153774562996055, 0.012843871035994804, 0.021989924946784273
0.275, 0.2162292606917446, 0.4125601023060923, 0.02562121983983978, 0.20516036409172594, 0.012785497742788456, 0.023790505447180445
0.3, 0.19649076566411086, 0.35949220104703944, 0.025141120391649938, 0.17798130591176245, 0.01238074558670802, 0.022077131568130327
0.325, 0.19370272338488098, 0.3717956762758295, 0.026033286428014245, 0.1728808508527279, 0.012287338408544363, 0.023003500409226264
0.35, 0.18114772577808888, 0.3248533561482246, 0.02634747552324298, 0.14759372738821822, 0.01215810183214952, 0.021143519264272503
0.375, 0.19647031799220382, 0.2849061640463494, 0.024575309761597018, 0.14565239431219945, 0.012730768427172936, 0.018473506444690778
0.4, 0.16755455743050235, 0.3105212226133687, 0.02647373973614732, 0.13612553528879234, 0.011679850044918382, 0.020909033012806326
0.425, 0.16313330498893058, 0.27051322257838467, 0.025866252526661946, 0.12364131461309365, 0.0118443900591594, 0.019214230145891412
0.45, 0.1599543815797195, 0.2667281725231371, 0.026288155811748443, 0.12000174234643904, 0.011808378626046041, 0.019277384688179085
0.475, 0.160051381258177, 0.26697459077846286, 0.026321508269739724, 0.12084335993353758, 0.011847036513850447, 0.019235603577362422
0.5, 0.14206428361285903, 0.2098299606194011, 0.023249330649818357, 0.09452682128863343, 0.010482987484857327, 0.014972152176777694
0.525, 0.14964599802866438, 0.1955030419741284, 0.02416208430279032, 0.09506773760035506, 0.01164216010027053, 0.014870283398709444
0.55, 0.1480455463373952, 0.18209208384237266, 0.023375341229060705, 0.09178969282926876, 0.011651158476545206, 0.014017929254828016
0.575, 0.14453883227483136, 0.1625048857814435, 0.022493396028946466, 0.08336021826196975, 0.01144963624136, 0.012595226351342859
0.6, 0.14832266781124018, 0.1627343139166751, 0.02246053529236043, 0.08691999774060433, 0.011860425268624726, 0.012787405574047585
0.625, 0.1479000686264667, 0.1363807233015681, 0.021704631662453133, 0.07771260264720993, 0.01221642059563922, 0.011070889876786017
0.65, 0.1480103014875531, 0.132818762947617, 0.021256296198310314, 0.07725077784920177, 0.01226329800778712, 0.010777856451095665
0.675, 0.1499601029107549, 0.1210724859536476, 0.021051459048833362, 0.07190162499211246, 0.012409009679331048, 0.00987504061063889
0.7, 0.139190892915946, 0.10566348672341806, 0.019392783202859, 0.06416789038590053, 0.011674478651375296, 0.008704606072568134
0.725, 0.13858252412878827, 0.09370775063042414, 0.01852411285861547, 0.059945462633347796, 0.01175416618122752, 0.007838565009614376
0.75, 0.124728628509662, 0.0722651668590379, 0.016527503552310474, 0.0472835293265278, 0.010724667837058418, 0.0061516273182265
0.775, 0.11810347456213256, 0.06056208919248595, 0.014506159712038898, 0.04234907877794391, 0.010065399860496437, 0.005106587337600117
0.8, 0.11597225788486538, 0.0570896199240048, 0.014393924504060263, 0.04033101503227493, 0.010056590843953599, 0.004881647177309742
0.825, 0.10606676451387606, 0.046559022859701156, 0.012715545166591161, 0.03434623453740177, 0.009299110913101694, 0.004038464588064419
0.85, 0.09655440390173037, 0.041938420319834795, 0.011045968899429328, 0.03182251648979709, 0.00832650516073835, 0.0035789538137891773
0.875, 0.07953116993852964, 0.028474129389362297, 0.008814176776830888, 0.022560999287672603, 0.0069443125602973105, 0.0024687282400018057
0.9, 0.07091700711269502, 0.024049885814408863, 0.007672737528604768, 0.01942855379796396, 0.006162945226513001, 0.0020744223308573747
0.925, 0.05755332067493985, 0.016766834853844052, 0.0060264521580533775, 0.014265182924448746, 0.00506795659275582, 0.0014666771079124537
0.95, 0.03981446956278493, 0.010991215685701074, 0.00397386626847294, 0.009746455120232884, 0.0035053527641705547, 0.0009629155377688992
0.975, 0.022377593238668884, 0.006363185484100116, 0.0021604699398989546, 0.005808349620475765, 0.001967785041617628, 0.0005555097404477122
0.0, 0.0000000000000004, 0.0000000000000004, 0.0000000000000004, 0.0000000000000004, 0.0000000000000004, 0.0000000000000004
